frame.time_epoch,ip.src,ip.dst,aligned_epoch,aligned_ts,abs_delta_s,second_bin
1678920288.533359,185.175.0.3,185.175.0.8,1678931088.533359,2023-03-16 01:44:48.533359051,999.688640949,2023-03-16 01:44:48
1678920289.5492,185.175.0.3,185.175.0.8,1678931089.5492,2023-03-16 01:44:49.549200058,998.672799942,2023-03-16 01:44:49
1678920291.565232,185.175.0.3,185.175.0.8,1678931091.565232,2023-03-16 01:44:51.565232038,996.656767962,2023-03-16 01:44:51
1678920298.541358,185.175.0.3,185.175.0.8,1678931098.541358,2023-03-16 01:44:58.541357994,989.680642006,2023-03-16 01:44:58
1678920299.56522,185.175.0.3,185.175.0.8,1678931099.56522,2023-03-16 01:44:59.565220118,988.656779882,2023-03-16 01:44:59
1678920301.5812,185.175.0.3,185.175.0.8,1678931101.5812,2023-03-16 01:45:01.581199884,986.640800116,2023-03-16 01:45:01
1678920308.549356,185.175.0.3,185.175.0.8,1678931108.549356,2023-03-16 01:45:08.549355984,979.672644016,2023-03-16 01:45:08
1678920309.577207,185.175.0.3,185.175.0.8,1678931109.577207,2023-03-16 01:45:09.577207088,978.644792912,2023-03-16 01:45:09
1678920311.593215,185.175.0.3,185.175.0.8,1678931111.593215,2023-03-16 01:45:11.593214989,976.628785011,2023-03-16 01:45:11
1678920318.557336,185.175.0.3,185.175.0.8,1678931118.557336,2023-03-16 01:45:18.557336092,969.664663908,2023-03-16 01:45:18
1678920319.561242,185.175.0.3,185.175.0.8,1678931119.561242,2023-03-16 01:45:19.561242104,968.660757896,2023-03-16 01:45:19
1678920321.581217,185.175.0.3,185.175.0.8,1678931121.581217,2023-03-16 01:45:21.581217051,966.640782949,2023-03-16 01:45:21
1678920328.565343,185.175.0.3,185.175.0.8,1678931128.565343,2023-03-16 01:45:28.565342903,959.656657097,2023-03-16 01:45:28
1678920329.581208,185.175.0.3,185.175.0.8,1678931129.581208,2023-03-16 01:45:29.581207991,958.640792009,2023-03-16 01:45:29
1678920331.597253,185.175.0.3,185.175.0.8,1678931131.597253,2023-03-16 01:45:31.597253084,956.624746916,2023-03-16 01:45:31
1678920338.573339,185.175.0.3,185.175.0.8,1678931138.573339,2023-03-16 01:45:38.573338985,949.648661015,2023-03-16 01:45:38
