frame.time_epoch,frame.len,ip.src,ip.dst,modbus.func_code,modbus.reference_num,modbus.read_reference_num,modbus.write_reference_num,modbus.word_cnt,modbus.read_word_cnt,modbus.write_word_cnt,modbus.byte_cnt,modbus.exception_code,modbus.response_time,modbus.request_frame,modbus.regnum16,modbus.regval_uint16,modbus.regval_float,aligned_epoch,aligned_ts,abs_delta_s,second_bin
1679159908.157303,74,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.157303,2023-03-18 20:18:28.157303095,16.826696905,2023-03-18 20:18:28
1679159908.157333,74,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679170708.157333,2023-03-18 20:18:28.157332897,16.826667103,2023-03-18 20:18:28
1679159908.157355,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.157355,2023-03-18 20:18:28.157355070,16.82664493,2023-03-18 20:18:28
1679159908.157452,78,185.175.0.3,185.175.0.8,3.0,8.0,,,1.0,,,,,,,,,,1679170708.157452,2023-03-18 20:18:28.157452106,16.826547894,2023-03-18 20:18:28
1679159908.157469,66,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679170708.157469,2023-03-18 20:18:28.157469034,16.826530966,2023-03-18 20:18:28
1679159908.158719,77,185.175.0.8,185.175.0.3,3.0,,,,,,,2.0,,0.001267,17771.0,8.0,11.0,,1679170708.158719,2023-03-18 20:18:28.158719063,16.825280937,2023-03-18 20:18:28
1679159908.158745,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.158745,2023-03-18 20:18:28.158745050,16.82525495,2023-03-18 20:18:28
1679159908.158861,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.158861,2023-03-18 20:18:28.158860922,16.825139078,2023-03-18 20:18:28
1679159908.17904,74,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.17904,2023-03-18 20:18:28.179039955,16.804960045,2023-03-18 20:18:28
1679159908.179065,74,185.175.0.8,185.175.0.3,,,,,,,,,,,,,,,1679170708.179065,2023-03-18 20:18:28.179064989,16.804935011,2023-03-18 20:18:28
1679159908.179088,66,185.175.0.3,185.175.0.8,,,,,,,,,,,,,,,1679170708.179088,2023-03-18 20:18:28.179088116,16.804911884,2023-03-18 20:18:28
